Link_ID,Direction,Timestamp,Avg_speed,Samples,UniqueVehicles
5,1,2026-07-18 01:30:00,71,1
5,2,2026-07-18 04:00:00,73,1
5,1,2026-07-18 08:15:00,79,1
5,2,2026-07-18 08:30:00,85,1
5,1,2026-07-18 09:15:00,70,2
5,2,2026-07-18 11:15:00,65,3
5,1,2026-07-18 12:15:00,84,1
5,2,2026-07-18 13:45:00,62,1
5,1,2026-07-18 14:00:00,84,1
5,2,2026-07-18 14:45:00,98,1
5,1,2026-07-18 15:00:00,105,1
5,2,2026-07-18 15:15:00,74,1
5,1,2026-07-18 16:15:00,74,1
5,2,2026-07-18 16:30:00,85,1
5,1,2026-07-18 17:00:00,73,1
5,2,2026-07-18 17:15:00,72,1
5,1,2026-07-18 17:45:00,63,1
5,2,2026-07-18 18:00:00,75,1
5,1,2026-07-18 19:45:00,74,1
5,2,2026-07-18 20:00:00,79,1
5,1,2026-07-18 20:45:00,62,1
5,2,2026-07-18 21:15:00,63,1
5,1,2026-07-18 22:30:00,84,1
5,2,2026-07-19 23:00:00,79,2
5,1,2026-07-19 06:45:00,86,2
5,2,2026-07-19 08:00:00,86,1
5,1,2026-07-19 10:00:00,73,1
5,2,2026-07-19 12:15:00,93,1
5,1,2026-07-19 12:30:00,94,1
4,2,2026-07-18 17:15:00,72,1
4,1,2026-07-18 17:45:00,63,1
4,2,2026-07-18 18:00:00,75,1
4,1,2026-07-18 19:45:00,74,1
4,2,2026-07-18 20:00:00,79,1
4,1,2026-07-18 20:45:00,62,1
4,2,2026-07-18 21:15:00,63,1
4,1,2026-07-18 22:30:00,84,1
4,2,2026-07-19 23:00:00,79,2
4,1,2026-07-19 06:45:00,86,2
4,2,2026-07-19 08:00:00,86,1
4,1,2026-07-19 10:00:00,73,1
4,2,2026-07-19 12:15:00,93,1
4,2,2026-07-19 12:30:00,94,1
